~0.2.11 || 0.3 micro
~0.2 || ~0.3 micro
1.x || >= 2.2.0 major
2.x || 3.x minor
0.9.6 || >=1.0.0 major
>= 0.7.1 || 0.7.0-recoset major
0.9.6 || >=1.0.0 major
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
0.9.6 || >=1.0.0 major
1.1.2 || 1.2.3 || ^1.3.2 noRange
0.9.6 || >=1.0.0 major
^1.7 || ^2.0 || ^3.1 minor
2 || 3 minor
0 || 1 || 2 || 3 || 4 minor
~3.3 || ~3.2 || ~3.1 || ~3.0 || ~2 micro
^1.12.4 || ^2.0.0 || 3.0.0 minor
2 || 3 minor
0 || 1 || 2 || 3 || 4 minor
~>1.8.5 || ~>2.2.1 major
0.1.0 || 0.1.1 noRange
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
~0.2 || ~0.3 micro
0.1.0 || 0.1.1 noRange
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
0.1.0 || 0.1.1 noRange
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
0.1.0 || 0.1.1 noRange
3.x || 2.x minor
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
^3.0.0 || ^4.0.0 || ^5.0.0 minor
2 >=2.2.1 || 3.x || 4 || 5 major
~1.0.1 || ^2.0.0 minor
~>1.8.5 || ~>2.2.1 major
2 || 3 || 4 || 5 minor
~>1.8.5 || ~>2.2.1 major
^4.0.0 || ^5.0.0 minor
2.x || 3.x || 4 || 5 minor
1 || 2 minor
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
~>1.8.5 || ~>2.2.1 major
1.x || >= 2.2.0 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
2 || 3 || 4 minor
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
3 || 4 minor
2 || 3 minor
2.x || 3.x || 4 minor
2.x || 3.x minor
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
1.0.x || 1.1.x micro
~>1.8.5 || ~>2.2.1 major
~>1.8.5 || ~>2.2.1 major
2 || 3 || 4 minor
~>1.8.5 || ~>2.2.1 major
^3.0 || ^2.2.0 minor
^2.0 || ^1.10.0 minor
1.1.2 || 1.2.3 || ~1.3.2 noRange
~>1.8.5 || ~>2.2.1 major
